No.;Time;;;
1;0.000000;;;
2;0.000341;;;
3;0.318157;;;
4;0.596998;time 1;time 2;delay 
5;0.906987;0;1,521304;1,521304
6;1.521.304;1,521304;2,725852;1,204548
7;2.725.852;2,725852;4,98327;2,257418
8;4.983.270;4,98327;4,983878;0,000608
9;4.983.878;4,983878;5,013283;0,029405
10;5.013.283;5,013283;5,063235;0,049952
11;5.063.235;5,063235;5,064103;0,000868
12;5.064.103;5,064103;5,136208;0,072105
13;5.136.208;5,136208;5,273002;0,136794
14;5.273.002;5,273002;5,273228;0,000226
15;5.273.228;5,273228;5,27342;0,000192
16;5.273.420;5,27342;5,477795;0,204375
17;5.477.795;5,477795;6,092486;0,614691
18;6.092.486;6,092486;6,092486;0
19;6.092.486;6,092486;6,092486;0
20;6.092.486;6,092486;6,092697;0,000211
21;6.092.697;6,092697;6,297528;0,204831
22;6.297.528;6,297528;6,317909;0,020381
23;6.317.909;6,317909;6,553;0,235091
24;6.553.000;6,553;9,946364;3,393364
25;9.946.364;9,946364;10,280347;0,333983
26;10.280.347;10,280347;10,313043;0,032696
27;10.313.043;10,313043;10,546488;0,233445
28;10.546.488;10,546488;10,594319;0,047831
29;10.594.319;10,594319;11,007748;0,413429
30;11.007.748;11,007748;11,007748;0
31;11.007.748;11,007748;11,007984;0,000236
32;11.007.984;11,007984;11,008126;0,000142
33;11.008.126;11,008126;11,008126;0
34;11.008.126;11,008126;11,008126;0
35;11.008.126;11,008126;11,008126;0
36;11.008.126;11,008126;11,008126;0
37;11.008.126;11,008126;11,008126;0
38;11.008.126;11,008126;11,008126;0
39;11.008.126;11,008126;11,008126;0
40;11.008.126;11,008126;11,008126;0
41;11.008.126;11,008126;11,008126;0
42;11.008.126;11,008126;11,008369;0,000243
43;11.008.369;11,008369;11,013016;0,004647
44;11.013.016;11,013016;11,068237;0,055221
45;11.068.237;11,068237;12,101138;1,032901
46;12.101.138;12,101138;12,706382;0,605244
47;12.706.382;12,706382;12,706842;0,00046
48;12.706.842;12,706842;12,75312;0,046278
49;12.753.120;12,75312;12,756106;0,002986
50;12.756.106;12,756106;12,773092;0,016986
51;12.773.092;12,773092;12,773092;0
52;12.773.092;12,773092;12,773092;0
53;12.773.092;12,773092;12,775241;0,002149
54;12.775.241;12,775241;12,777986;0,002745
55;12.777.986;12,777986;12,778457;0,000471
56;12.778.457;12,778457;12,783502;0,005045
57;12.783.502;12,783502;12,783798;0,000296
58;12.783.798;12,783798;12,803178;0,01938
59;12.803.178;12,803178;12,803178;0
60;12.803.178;12,803178;12,823113;0,019935
61;12.823.113;12,823113;12,825543;0,00243
62;12.825.543;12,825543;12,825594;5,1E-05
63;12.825.594;12,825594;12,843975;0,018381
64;12.843.975;12,843975;12,843975;0
65;12.843.975;12,843975;12,843975;0
66;12.843.975;12,843975;12,844894;0,000919
67;12.844.894;12,844894;12,863511;0,018617
68;12.863.511;12,863511;12,90085;0,037339
69;12.900.850;12,90085;12,901221;0,000371
70;12.901.221;12,901221;12,90154;0,000319
71;12.901.540;12,90154;12,908569;0,007029
72;12.908.569;12,908569;12,912444;0,003875
73;12.912.444;12,912444;12,933723;0,021279
74;12.933.723;12,933723;12,933723;0
75;12.933.723;12,933723;12,933723;0
76;12.933.723;12,933723;12,935998;0,002275
77;12.935.998;12,935998;12,953444;0,017446
78;12.953.444;12,953444;12,961321;0,007877
79;12.961.321;12,961321;12,990705;0,029384
80;12.990.705;12,990705;12,990705;0
81;12.990.705;12,990705;12,990705;0
82;12.990.705;12,990705;12,990705;0
83;12.990.705;12,990705;12,990705;0
84;12.990.705;12,990705;12,990705;0
85;12.990.705;12,990705;12,990705;0
86;12.990.705;12,990705;12,990705;0
87;12.990.705;12,990705;12,991465;0,00076
88;12.991.465;12,991465;12,991465;0
89;12.991.465;12,991465;12,991465;0
90;12.991.465;12,991465;12,991465;0
91;12.991.465;12,991465;12,993114;0,001649
92;12.993.114;12,993114;12,993114;0
93;12.993.114;12,993114;12,993761;0,000647
94;12.993.761;12,993761;12,993876;0,000115
95;12.993.876;12,993876;12,99396;8,4E-05
96;12.993.960;12,99396;12,994031;7,1E-05
97;12.994.031;12,994031;12,994031;0
98;12.994.031;12,994031;12,994178;0,000147
99;12.994.178;12,994178;12,994253;7,5E-05
100;12.994.253;12,994253;12,994328;7,5E-05
101;12.994.328;12,994328;12,994803;0,000475
102;12.994.803;12,994803;12,995793;0,00099
103;12.995.793;12,995793;12,995979;0,000186
104;12.995.979;12,995979;12,995979;0
105;12.995.979;12,995979;12,997014;0,001035
106;12.997.014;12,997014;12,997014;0
107;12.997.014;12,997014;12,999687;0,002673
108;12.999.687;12,999687;12,999687;0
109;12.999.687;12,999687;13,000579;0,000892
110;13.000.579;13,000579;13,00409;0,003511
111;13.004.090;13,00409;13,00409;0
112;13.004.090;13,00409;13,004511;0,000421
113;13.004.511;13,004511;13,004511;0
114;13.004.511;13,004511;13,005211;0,0007
115;13.005.211;13,005211;13,005211;0
116;13.005.211;13,005211;13,005595;0,000384
117;13.005.595;13,005595;13,007728;0,002133
118;13.007.728;13,007728;13,007728;0
119;13.007.728;13,007728;13,0095;0,001772
120;13.009.500;13,0095;13,0095;0
121;13.009.500;13,0095;13,010863;0,001363
122;13.010.863;13,010863;13,011485;0,000622
123;13.011.485;13,011485;13,011744;0,000259
124;13.011.744;13,011744;13,012055;0,000311
125;13.012.055;13,012055;13,012348;0,000293
126;13.012.348;13,012348;13,015772;0,003424
127;13.015.772;13,015772;13,035396;0,019624
128;13.035.396;13,035396;13,035396;0
129;13.035.396;13,035396;13,036966;0,00157
130;13.036.966;13,036966;13,108074;0,071108
131;13.108.074;13,108074;13,85543;0,747356
132;13.855.430;13,85543;13,855893;0,000463
133;13.855.893;13,855893;13,855955;6,2E-05
134;13.855.955;13,855955;13,856178;0,000223
135;13.856.178;13,856178;13,856484;0,000306
136;13.856.484;13,856484;13,861764;0,00528
137;13.861.764;13,861764;13,861764;0
138;13.861.764;13,861764;13,862217;0,000453
139;13.862.217;13,862217;13,862217;0
140;13.862.217;13,862217;13,868417;0,0062
141;13.868.417;13,868417;13,873995;0,005578
142;13.873.995;13,873995;13,873995;0
143;13.873.995;13,873995;13,881906;0,007911
144;13.881.906;13,881906;13,882734;0,000828
145;13.882.734;13,882734;13,890595;0,007861
146;13.890.595;13,890595;13,906582;0,015987
147;13.906.582;13,906582;13,908643;0,002061
148;13.908.643;13,908643;13,908643;0
149;13.908.643;13,908643;13,909175;0,000532
150;13.909.175;13,909175;13,909302;0,000127
151;13.909.302;13,909302;13,914555;0,005253
152;13.914.555;13,914555;13,914933;0,000378
153;13.914.933;13,914933;13,925955;0,011022
154;13.925.955;13,925955;13,9262;0,000245
155;13.926.200;13,9262;13,928531;0,002331
156;13.928.531;13,928531;13,932478;0,003947
157;13.932.478;13,932478;13,932478;0
158;13.932.478;13,932478;13,932478;0
159;13.932.478;13,932478;13,932885;0,000407
160;13.932.885;13,932885;13,932885;0
161;13.932.885;13,932885;13,93302;0,000135
162;13.933.020;13,93302;13,934154;0,001134
163;13.934.154;13,934154;13,934154;0
164;13.934.154;13,934154;13,934154;0
165;13.934.154;13,934154;13,934154;0
166;13.934.154;13,934154;13,934154;0
167;13.934.154;13,934154;13,934154;0
168;13.934.154;13,934154;13,934154;0
169;13.934.154;13,934154;13,934421;0,000267
170;13.934.421;13,934421;13,934498;7,7E-05
171;13.934.498;13,934498;13,94342;0,008922
172;13.943.420;13,94342;13,94342;0
173;13.943.420;13,94342;13,94342;0
174;13.943.420;13,94342;13,943672;0,000252
175;13.943.672;13,943672;13,946882;0,00321
176;13.946.882;13,946882;13,946882;0
177;13.946.882;13,946882;13,946882;0
178;13.946.882;13,946882;13,947157;0,000275
179;13.947.157;13,947157;13,9571;0,009943
180;13.957.100;13,9571;13,960578;0,003478
181;13.960.578;13,960578;13,963286;0,002708
182;13.963.286;13,963286;13,963286;0
183;13.963.286;13,963286;13,963377;9,1E-05
184;13.963.377;13,963377;13,963469;9,2E-05
185;13.963.469;13,963469;13,963625;0,000156
186;13.963.625;13,963625;13,963625;0
187;13.963.625;13,963625;13,966315;0,00269
188;13.966.315;13,966315;13,983179;0,016864
189;13.983.179;13,983179;13,983179;0
190;13.983.179;13,983179;13,984593;0,001414
191;13.984.593;13,984593;13,984593;0
192;13.984.593;13,984593;13,984593;0
193;13.984.593;13,984593;13,984815;0,000222
194;13.984.815;13,984815;13,988249;0,003434
195;13.988.249;13,988249;14,003014;0,014765
196;14.003.014;14,003014;14,013442;0,010428
197;14.013.442;14,013442;14,032074;0,018632
198;14.032.074;14,032074;14,032885;0,000811
199;14.032.885;14,032885;14,0484;0,015515
200;14.048.400;14,0484;14,07306;0,02466
201;14.073.060;14,07306;14,07306;0
202;14.073.060;14,07306;14,07306;0
203;14.073.060;14,07306;14,073316;0,000256
